ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,POVERTY_RATE,POVERTY_NUM,NBI_RATE,NBI_NUM,POVERTY_RATE_TOT,POVERTY_NUM_TOT,POVERTY_SOURCE
Argentina,ARG,Buenos Aires,AR006,25.06431468,1210938,8.173061499,394867,25.06431468,1210938,Mapa de pobreza (2010)
Argentina,ARG,Catamarca,AR010,13.39105331,48519,3.094467935,11212,13.39105331,48519,Mapa de pobreza (2010)
Argentina,ARG,Chaco,AR022,23.55356473,246664,5.238687721,54862,23.55356473,246664,Mapa de pobreza (2010)
Argentina,ARG,Chubut,AR026,2.436319362,12126,2.776069983,13817,2.436319362,12126,Mapa de pobreza (2010)
Argentina,ARG,Ciudad de Buenos Aires,AR002,0.359994763,38303,0.681849988,72548,0.359994763,38303,Mapa de pobreza (2010)
Argentina,ARG,Córdoba,AR014,4.282330626,139432,1.294140266,42137,4.282330626,139432,Mapa de pobreza (2010)
Argentina,ARG,Corrientes,AR018,19.93825486,196266,3.863083864,38027,19.93825486,196266,Mapa de pobreza (2010)
Argentina,ARG,Entre Ríos,AR030,10.99352653,134331,2.482752412,30337,10.99352653,134331,Mapa de pobreza (2010)
Argentina,ARG,Formosa,AR034,24.29840169,127960,5.125337293,26991,24.29840169,127960,Mapa de pobreza (2010)
Argentina,ARG,Jujuy,AR038,14.66913834,97728,3.80237611,25332,14.66913834,97728,Mapa de pobreza (2010)
Argentina,ARG,La Pampa,AR042,6.753513448,21245,2.186110237,6877,6.753513448,21245,Mapa de pobreza (2010)
Argentina,ARG,La Rioja,AR046,12.98609894,42991,3.397330949,11247,12.98609894,42991,Mapa de pobreza (2010)
Argentina,ARG,Mendoza,AR050,9.016338159,155072,2.361009361,40607,9.016338159,155072,Mapa de pobreza (2010)
Argentina,ARG,Misiones,AR054,17.21272098,187745,3.542476901,38639,17.21272098,187745,Mapa de pobreza (2010)
Argentina,ARG,Neuquén,AR058,9.216070997,49930,3.236053609,17532,9.216070997,49930,Mapa de pobreza (2010)
Argentina,ARG,Río Negro,AR062,5.195722373,32518,2.369375948,14829,5.195722373,32518,Mapa de pobreza (2010)
Argentina,ARG,Salta,AR066,16.7351337,201122,3.541785413,42565,16.7351337,201122,Mapa de pobreza (2010)
Argentina,ARG,San Juan,AR070,13.00141457,87499,2.802394071,18860,13.00141457,87499,Mapa de pobreza (2010)
Argentina,ARG,San Luis,AR074,14.85790467,63637,2.28038963,9767,14.85790467,63637,Mapa de pobreza (2010)
Argentina,ARG,Santa Cruz,AR078,1.593386257,4219,2.430678823,6436,1.593386257,4219,Mapa de pobreza (2010)
Argentina,ARG,Santa Fe,AR082,7.907120802,250190,2.078119914,65754,7.907120802,250190,Mapa de pobreza (2010)
Argentina,ARG,Santiago del Estero,AR086,28.66988268,248602,6.329350412,54883,28.66988268,248602,Mapa de pobreza (2010)
Argentina,ARG,Tierra del Fuego,AR094,0.700699086,869,6.694135576,8302,0.700699086,869,Mapa de pobreza (2010)
Argentina,ARG,Tucumán,AR090,6.882388612,99081,2.701525599,38892,6.882388612,99081,Mapa de pobreza (2010)
Bahamas,BHS,Acklins,BS.AK,,,,,,,
Bahamas,BHS,Berry Islands,BS.BR,,,,,,,
Bahamas,BHS,Biminis,BS.BI,,,,,,,
Bahamas,BHS,Black Point,BS.BP,,,,,,,
Bahamas,BHS,Cat Island,BS.CI,,,,,,,
Bahamas,BHS,Central Abaco,BS.CB,,,,,,,
Bahamas,BHS,Central Andros,BS.CN,,,,,,,
Bahamas,BHS,Central Eleuthera,BS.CE,,,,,,,
Bahamas,BHS,City of Freeport,BS.FP,,,,,,,
Bahamas,BHS,Crooked Island,BS.CK,,,,,,,
Bahamas,BHS,East Grand Bahama,BS.EB,,,,,,,
Bahamas,BHS,Exuma,BS.EM,,,,,,,
Bahamas,BHS,Grand Cay,BS.GC,,,,,,,
Bahamas,BHS,Harbour Island,BS.HB,,,,,,,
Bahamas,BHS,Hope Town,BS.HT,,,,,,,
Bahamas,BHS,Inagua,BS.IN,,,,,,,
Bahamas,BHS,Long Island,BS.LI,,,,,,,
Bahamas,BHS,Mangrove Cay,BS.MC,,,,,,,
Bahamas,BHS,Mayaguana,BS.MG,,,,,,,
Bahamas,BHS,Moore's Island,BS.MI,,,,,,,
Bahamas,BHS,New Providence,BS.NW,,,,,,,
Bahamas,BHS,North Abaco,BS.NB,,,,,,,
Bahamas,BHS,North Andros,BS.NN,,,,,,,
Bahamas,BHS,North Eleuthera,BS.NE,,,,,,,
Bahamas,BHS,Ragged Island,BS.RI,,,,,,,
Bahamas,BHS,Rum Cay,BS.RC,,,,,,,
Bahamas,BHS,San Salvador,BS.SS,,,,,,,
Bahamas,BHS,South Abaco,BS.SB,,,,,,,
Bahamas,BHS,South Andros,BS.SN,,,,,,,
Bahamas,BHS,South Eleuthera,BS.SE,,,,,,,
Bahamas,BHS,Spanish Wells,BS.SW,,,,,,,
Bahamas,BHS,West Grand Bahama,BS.WB,,,,,,,
Belize,BLZ,Belize,BZ01,45,59113.35,,,45,59113.35,Mapa de pobreza (2018)
Belize,BLZ,Cayo,BZ02,52,54698.8,,,52,54698.8,Mapa de pobreza (2018)
Belize,BLZ,Corozal,BZ03,45,23202.45,,,45,23202.45,Mapa de pobreza (2018)
Belize,BLZ,Orange Walk,BZ04,57,30903.12,,,57,30903.12,Mapa de pobreza (2018)
Belize,BLZ,Stann Creek,BZ05,47,22251.21,,,47,22251.21,Mapa de pobreza (2018)
Belize,BLZ,Toledo,BZ06,82,33224.76,,,82,33224.76,Mapa de pobreza (2018)
Bolivia,BOL,Beni,BO08,74.04540554,312477.535,56.3946655,237990,74.04540554,312477.535,Mapa de pobreza (2012)
Bolivia,BOL,Chuquisaca,BO01,78.2545939,435435.167,53.02551605,295052,78.2545939,435435.167,Mapa de pobreza (2012)
Bolivia,BOL,Cochabamba,BO03,74.26054254,922777.0963,53.71653948,667493,74.26054254,922777.0963,Mapa de pobreza (2012)
Bolivia,BOL,La Paz,BO02,72.47879151,1970947.668,46.26545961,1258117,72.47879151,1970947.668,Mapa de pobreza (2012)
Bolivia,BOL,Oruro,BO04,79.16144585,226328.115,57.95346039,165693,79.16144585,226328.115,Mapa de pobreza (2012)
Bolivia,BOL,Pando,BO09,64.82222735,71587.075,58.76616321,64899,64.82222735,71587.075,Mapa de pobreza (2012)
Bolivia,BOL,Potosí,BO05,78.89071868,653288.519,59.67457761,494161,78.89071868,653288.519,Mapa de pobreza (2012)
Bolivia,BOL,Santa Cruz,BO07,62.1714617,1652369.484,35.5667287,945279,62.1714617,1652369.484,Mapa de pobreza (2012)
Bolivia,BOL,Tarija,BO06,72.36723442,282243.793,42.6718391,166427,72.36723442,282243.793,Mapa de pobreza (2012)
Brazil,BRA,Acre,BR12,52.99842922,388774.7474,,,52.99842922,388774.7474,Mapa de pobreza (2010)
Brazil,BRA,Alagoas,BR27,60.86565347,1899309.065,,,60.86565347,1899309.065,Mapa de pobreza (2010)
Brazil,BRA,Amapá,BR16,47.28427217,316580.4961,,,47.28427217,316580.4961,Mapa de pobreza (2010)
Brazil,BRA,Amazonas,BR13,54.4865117,1898301.895,,,54.4865117,1898301.895,Mapa de pobreza (2010)
Brazil,BRA,Bahia,BR29,54.31849067,7613771.778,,,54.31849067,7613771.778,Mapa de pobreza (2010)
Brazil,BRA,Ceará,BR23,56.15645085,4746557.182,,,56.15645085,4746557.182,Mapa de pobreza (2010)
Brazil,BRA,Distrito Federal,BR53,18.32,470853.312,,,18.32,470853.312,Mapa de pobreza (2010)
Brazil,BRA,Espírito Santo,BR32,28.88750728,1015382.015,,,28.88750728,1015382.015,Mapa de pobreza (2010)
Brazil,BRA,Goiás,BR52,26.50917304,1591554.55,,,26.50917304,1591554.55,Mapa de pobreza (2010)
Brazil,BRA,Maranhão,BR21,64.69194323,4253358.767,,,64.69194323,4253358.767,Mapa de pobreza (2010)
Brazil,BRA,Mato Grosso,BR51,29.60489719,898544.7477,,,29.60489719,898544.7477,Mapa de pobreza (2010)
Brazil,BRA,Mato Grosso do Sul,BR50,28.17615922,690040.9015,,,28.17615922,690040.9015,Mapa de pobreza (2010)
Brazil,BRA,Minas Gerais,BR31,30.31191094,5940325.217,,,30.31191094,5940325.217,Mapa de pobreza (2010)
Brazil,BRA,Pará,BR15,57.60332508,4366937.452,,,57.60332508,4366937.452,Mapa de pobreza (2010)
Brazil,BRA,Paraíba,BR25,54.72871137,2061372.238,,,54.72871137,2061372.238,Mapa de pobreza (2010)
Brazil,BRA,Paraná,BR41,21.33001763,2227819.238,,,21.33001763,2227819.238,Mapa de pobreza (2010)
Brazil,BRA,Pernambuco,BR26,53.55999888,4711377.451,,,53.55999888,4711377.451,Mapa de pobreza (2010)
Brazil,BRA,Piauí,BR22,58.95065815,1838293.744,,,58.95065815,1838293.744,Mapa de pobreza (2010)
Brazil,BRA,Rio de Janeiro,BR33,25.90082009,4141522.742,,,25.90082009,4141522.742,Mapa de pobreza (2010)
Brazil,BRA,Rio Grande do Norte,BR24,48.9368172,1550331.582,,,48.9368172,1550331.582,Mapa de pobreza (2010)
Brazil,BRA,Rio Grande do Sul,BR43,20.28392314,2169148.339,,,20.28392314,2169148.339,Mapa de pobreza (2010)
Brazil,BRA,Rondônia,BR11,35.45039836,553880.2145,,,35.45039836,553880.2145,Mapa de pobreza (2010)
Brazil,BRA,Roraima,BR14,47.80885984,215368.8737,,,47.80885984,215368.8737,Mapa de pobreza (2010)
Brazil,BRA,Santa Catarina,BR42,13.88664791,867698.3074,,,13.88664791,867698.3074,Mapa de pobreza (2010)
Brazil,BRA,São Paulo,BR35,19.45927867,8029326.29,,,19.45927867,8029326.29,Mapa de pobreza (2010)
Brazil,BRA,Sergipe,BR28,53.73125247,1111171.435,,,53.73125247,1111171.435,Mapa de pobreza (2010)
Brazil,BRA,Tocantins,BR17,46.07133912,637371.6375,,,46.07133912,637371.6375,Mapa de pobreza (2010)
Barbados,BRB,Christ Church,BB01,26.53177,10916.5,,,26.53177,10916.5,Mapa de pobreza (2016)
Barbados,BRB,Saint Andrew,BB02,27.9889,1033.35,,,27.9889,1033.35,Mapa de pobreza (2016)
Barbados,BRB,Saint George,BB03,29.45952,4940.362,,,29.45952,4940.362,Mapa de pobreza (2016)
Barbados,BRB,Saint James,BB04,23.81579,4923.915,,,23.81579,4923.915,Mapa de pobreza (2016)
Barbados,BRB,Saint John,BB05,37.11675,2999.776,,,37.11675,2999.776,Mapa de pobreza (2016)
Barbados,BRB,Saint Joseph,BB06,25.76723,1409.467,,,25.76723,1409.467,Mapa de pobreza (2016)
Barbados,BRB,Saint Lucy,BB07,19.67721,1715.459,,,19.67721,1715.459,Mapa de pobreza (2016)
Barbados,BRB,Saint Michael,BB08,26.79449,16933.85,,,26.79449,16933.85,Mapa de pobreza (2016)
Barbados,BRB,Saint Peter,BB09,22.9541,2236.648,,,22.9541,2236.648,Mapa de pobreza (2016)
Barbados,BRB,Saint Philip,BB10,21.05124,4711.268,,,21.05124,4711.268,Mapa de pobreza (2016)
Barbados,BRB,Saint Thomas,BB11,21.51595,2432.593,,,21.51595,2432.593,Mapa de pobreza (2016)
Chile,CHL,Región de Tarapacá,CL01,13.96518961,53939.42766,,,13.96518961,53939.42766,Mapa de pobreza (2020)
Chile,CHL,Región de Antofagasta,CL02,9.239333597,64332.6483,,,9.239333597,64332.6483,Mapa de pobreza (2020)
Chile,CHL,Región de Atacama,CL03,9.150243867,28865.3593,,,9.150243867,28865.3593,Mapa de pobreza (2020)
