ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,POVERTY_RATE,POVERTY_NUM,NBI_RATE,NBI_NUM,POVERTY_RATE_TOT,POVERTY_NUM_TOT,POVERTY_SOURCE
Argentina,ARG,Buenos Aires,AR006,25 de Mayo,AR006854,6.13,2172,4.17,518,6.13,2172,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,9 de Julio,AR006588,5.44,2569,3.74,610,5.44,2569,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Adolfo Alsina,AR006007,4.08,689,3.42,213,4.08,689,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Adolfo Gonzáles Chaves,AR006014,3.78,451,2.93,123,3.78,451,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Alberti,AR006021,2.74,290,2.17,83,2.74,290,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Almirante Brown,AR006028,36.25,12310,10.55,16564,36.25,12310,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Arrecifes,AR006077,5.64,1622,4.5,430,5.64,1622,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Avellaneda,AR006035,4.89,16632,5.71,6447,4.89,16632,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Ayacucho,AR006042,5.92,1187,4.25,296,5.92,1187,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Azul,AR006049,5.47,3513,3.49,772,5.47,3513,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Bahía Blanca,AR006056,4.21,12526,3.97,4182,4.21,12526,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Balcarce,AR006063,5.93,2573,6.56,966,5.93,2573,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Baradero,AR006070,7.03,2264,5.92,617,7.03,2264,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Benito Juárez,AR006084,3.55,683,3.3,224,3.55,683,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Berazategui,AR006091,9.15,29416,11.56,10740,9.15,29416,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Berisso,AR006098,7.02,6167,10.35,2840,7.02,6167,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Bolívar,AR006105,4.3,1426,3.5,420,4.3,1426,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Bragado,AR006112,4.96,2021,3.81,544,4.96,2021,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Brandsen,AR006119,8.29,2172,8.54,711,8.29,2172,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Campana,AR006126,9.66,8946,9.06,2552,9.66,8946,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Cañuelas,AR006134,10.2,5251,10.32,1580,10.2,5251,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Capitán Sarmiento,AR006140,5.69,817,6.34,296,5.69,817,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Carlos Casares,AR006147,7.1,1554,4.22,328,7.1,1554,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Carlos Tejedor,AR006154,5.78,662,3.9,155,5.78,662,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Carmen de Areco,AR006161,5.81,845,5.4,250,5.81,845,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Castelli,AR006168,6.37,513,4.56,124,6.37,513,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Chacabuco,AR006210,5.34,2583,4.21,695,5.34,2583,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Chascomús,AR006218,5.71,2387,4.34,604,5.71,2387,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Chivilcoy,AR006224,4.83,3067,3.89,857,4.83,3067,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Colón,AR006175,5.29,1303,3.94,323,5.29,1303,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Coronel de Marina L. Rosales,AR006182,2.7,1636,3.13,607,2.7,1636,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Coronel Dorrego,AR006189,3.08,482,2.76,157,3.08,482,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Coronel Pringles,AR006196,5.05,1145,3.9,316,5.05,1145,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Coronel Suárez,AR006203,2.38,901,2.42,326,2.38,901,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Daireaux,AR006231,5.17,865,4.16,228,5.17,865,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Dolores,AR006238,4.48,1184,3.63,327,4.48,1184,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Ensenada,AR006245,7.53,4231,11.75,2046,7.53,4231,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Escobar,AR006252,10,21265,12.64,7590,10,21265,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Esteban Echeverría,AR006260,10.16,30497,10.72,9229,10.16,30497,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Exaltación de la Cruz,AR006266,9.02,2662,8.54,777,9.02,2662,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Ezeiza,AR006270,12.44,19928,13.6,6054,12.44,19928,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Florencio Varela,AR006274,15.23,64233,17.08,19324,15.23,64233,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,Florentino Ameghino,AR006277,5.94,523,4.29,128,5.94,523,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,General Alvarado,AR006280,7.35,2873,6.39,814,7.35,2873,Mapa de pobreza (2010)
Argentina,ARG,Buenos Aires,AR006,General Alvear,AR006287,5.09,489,4.23,140,5.09,489,Mapa de pobreza (2010)
