id_centro,nombre_centro,sector,raw_street,raw_adm2,raw_adm1,original_lat,original_lon,link_original,geocoded_lat,geocoded_lon,link_geocoded,geocode_source,geocode_precision,geocode_distance_km,acceptance,use_coordinate,geocode_confidence,review
90200041,ESCUELA PROHECO NARCISO RAMOS,Public,LAS MARÍAS  BIOSFERA DE RÍO PLÁTANO   MUNICIPIO DE BRUS LAGUNA,Brus Laguna,Gracias a Dios,15.64204816291888,-78.84977142047151,"https://www.google.com/maps?q=15.64204816291888,-78.84977142047151",15.87024,-84.69506,"https://www.google.com/maps?q=15.87024,-84.69506",arcgis,street,626.0385613726186,ACCEPT,original,high,
81700010,JOSE CECILIO DEL VALLE,Public,EL SUYATILLO SAN ANTONIO DE ORIENTE DEPARTAMENTO DE FRANCISCO MORAZAN .3 KM DE LA ESCUELA AGRICOLA PANAMERICANA.,San Antonio de Oriente,Francisco Morazán,,,,14.00914,-87.00876,"https://www.google.com/maps?q=14.00914,-87.00876",arcgis,street,,ACCEPT,geocoded,high,
60800007,JUAN LINDO,Public,LA ENEA LA ENEA  NUEVA MOROLICA CARRETERA QUE CONDUCE HACIA TEGUCIGALPA,Morolica,Choluteca,,,,13.557336957034,-86.905714874449,"https://www.google.com/maps?q=13.557336957034,-86.905714874449",arcgis,street,,ACCEPT,geocoded,high,
161500015,LUIS LANDA,Public,ESCUELA LUIS LANDA PUEBLO NUEVO PETOA SANTA BARBARA,Petoa,Santa Bárbara,,,,15.26911,-88.2888,"https://www.google.com/maps?q=15.26911,-88.2888",arcgis,street,,ACCEPT,geocoded,high,
170900023,AUGUSTO C. COELLO,Public,ALDEA LA PUENTE  MUNICIPIO : SAN LORENZO  DEPARTAMENTO :  VALLE,San Lorenzo,Valle,,,,13.45149,-87.40743,"https://www.google.com/maps?q=13.45149,-87.40743",arcgis,street,,ACCEPT,geocoded,high,
50101357,ESCUELA MODESTO RODAS ALBARADO,Public,EL RETIRO  AREA EL ZAPOTAL  SAN PEDRO SULA  CORTES,San Pedro Sula,Cortés,,,,15.50523,-88.02497,"https://www.google.com/maps?q=15.50523,-88.02497",arcgis,centroid,,ACCEPT_CENTROID,geocoded,centroid,
30600029,AUGUSTO C. COELLO,Public,ALDEA LOS ALFAROS  LOS ALFAROS  LA LIBERTAD  COMAYAGUA,La Libertad,Comayagua,,,,14.75771,-87.60758,"https://www.google.com/maps?q=14.75771,-87.60758",arcgis,centroid,,ACCEPT_CENTROID,geocoded,centroid,
10700130,OSCAR MURILLO VASQUEZ,Public,SAN JOSE NOMBRE DE DIOS TELA ATLANTIDA  100 MTS AL SUR IGLESIA CATOLICA,Tela,Atlántida,,,,15.7757659,-87.4555454,"https://www.google.com/maps?q=15.7757659,-87.4555454",arcgis,centroid,,ACCEPT_CENTROID,geocoded,centroid,
50300106,LEMPIRA,Public,MERENDON 8 KM AL SUR. ALDEA  NUEVA VIDA..DESVÍO POR OMOA POR IGLESIA CATOLICA.6KM.,Omoa,Cortés,,,,15.665326872235,-88.178119924288,"https://www.google.com/maps?q=15.665326872235,-88.178119924288",arcgis,centroid,,ACCEPT_CENTROID,geocoded,centroid,
130100008,LA INDEPENDENCIA,Public,JACAN  GRACIAS LEMPIRA  CONTIGUO A CENTRO DE SALUD,Gracias,Lempira,0.0,-91.4887439226706,,14.58886,-88.58119,"https://www.google.com/maps?q=14.58886,-88.58119",arcgis,centroid,,ACCEPT_CENTROID,geocoded,centroid,
90400003,ESCUELA RURAL MIXTA CAMILO MIRALDA,Public,LIMONALES  MUNICIPIO DE JUAN FCO. BULNES  DEPARTAMENTO DE GRACIAS A DIOS,Juan Fco. Bulnes,Gracias a Dios,15.868954454690842,-78.96441581832592,"https://www.google.com/maps?q=15.868954454690842,-78.96441581832592",15.236476351365,-84.334569065213,"https://www.google.com/maps?q=15.236476351365,-84.334569065213",arcgis,street,579.533615805584,ACCEPT_WITH_FLAG,original,low,
120600010,JULIO CESAR LOPEZ,Public,CUADRA AL NORTE PULPERIA COMUNAL POTRERITO  GUAJIQUIRO  LA PAZ,Guaijiquiro,La Paz,,,,14.11923,-87.83031,"https://www.google.com/maps?q=14.11923,-87.83031",arcgis,street,,ACCEPT_WITH_FLAG,geocoded,low,
90400016,INSTITUTO RIO DE LA POSESION,Public,PALACIOS  JUAN FRANCISCO BULNES  GRACIAS A DIOS UNA CUADRA DEL LA BASE NAVAL,Juan Fco. Bulnes,Gracias a Dios,15.949426370789418,-78.93130165383134,"https://www.google.com/maps?q=15.949426370789418,-78.93130165383134",15.7758219,-84.9034792,"https://www.google.com/maps?q=15.7758219,-84.9034792",arcgis,street,639.0574073975897,ACCEPT_WITH_FLAG,original,low,
90400026,ROMEL CELAN PORTILLO PADILLA,Public,CASERIO TRANVIO  ALDEA TOCAMACHO  MUNICIPIO JUAN FCO. BULNES  DEPARTAMENTO DE GRACIAS A DIOS.,Juan Fco. Bulnes,Gracias a Dios,15.963770172086823,-78.99092909625563,"https://www.google.com/maps?q=15.963770172086823,-78.99092909625563",15.25,-84.33333,"https://www.google.com/maps?q=15.25,-84.33333",arcgis,street,577.6047614111468,ACCEPT_WITH_FLAG,original,low,
50800011,CONSTANTINO RIVERA,Public,QUEBRADAS DE AGUA  FRENTE A PLAZA CENTRAL  ADELANTE DEL JARDIN CARLOS PINEDA  SAN FRANCISCO DE YOJOA  CORTES,San Fco. de Yojoa,Cortés,,,,15.012086166971,-87.982614589772,"https://www.google.com/maps?q=15.012086166971,-87.982614589772",arcgis,street,,ACCEPT_WITH_FLAG,geocoded,low,
150500041,ROMULO E. DURON,Public,EL LAGARTO  LA LLORONA  DULCE NOMBRE DE CULMI  OLANCHO EL CETRO EDUCATIVO ESTA A LA PAR DE LA CASA DE DON JUSTO GOMEZ Y DOÑA ANGELA GOMEZ,Dulce Nombre de Culmi,Olancho,14.847016848015912,-85.90494636554232,"https://www.google.com/maps?q=14.847016848015912,-85.90494636554232",15.08367,-85.56114,"https://www.google.com/maps?q=15.08367,-85.56114",arcgis,centroid,45.348577017781246,ADDRESS_MISMATCH,original,address_conflict,
