iso,id_centro,nombre_centro,geocoded_lat,geocoded_lon,geocode_source,geocode_precision,arcgis_score,geocode_query,geocode_distance_km,target_type,original_lat,original_lon,geocoded_in_adm1,geocoded_in_adm2,geo_adm1_check,geo_adm2_check,original_in_adm1,original_in_adm2,orig_adm1_check,orig_adm2_check,acceptance
COL,218410000186,ESCUELA CORAZÓNES,1.48047,-75.43528,arcgis,uncertain,87.37,"VDA CORAZÓNES, La Montañita, Caquetá, Colombia",8.493188788750599,compare,1.406389,-75.453889,Caquetá,La Montañita,MATCH,MATCH,Caquetá,La Montañita,MATCH,MATCH,FLAG
COL,218410001271,INSTITUCIÓN EDUCATIVA BRISAS DE SAN ISIDRO,1.20298,-75.10454,arcgis,centroid,92.16,"VDA BRISAS DE SAN ISIDRO, La Montañita, Caquetá, Colombia",44.942070852350206,compare,1.406388889,-75.45388889,Caquetá,La Montañita,MATCH,MATCH,Caquetá,La Montañita,MATCH,MATCH,KEEP_ORIGINAL
COL,219450001220,PUEBLO NUEVO,3.09091,-76.59898,arcgis,uncertain,85.09,"VDA PUEBLO NUEVO, Mercaderes, Cauca, Colombia",0.0,compare,3.09091,-76.59898,Cauca,Buenos Aires,MATCH,MISMATCH,Cauca,Buenos Aires,MATCH,MISMATCH,FLAG
COL,294001001217,CENTRO EDUCATIVO MARIO JOAQUIN GARRIDO,3.8651683,-67.9266056,arcgis,uncertain,88.39,"COM GUAMAL, Inírida, Guainía, Colombia",84.77771665612896,compare,3.316944,-68.4575,Guainía,Inírida,MATCH,MATCH,Guainía,Inírida,MATCH,MATCH,FLAG
COL,294001001225,CENTRO EDUCATIVO HORACIO LAPA,3.91671,-68.19995,arcgis,uncertain,82.13,"COM SAN JUAN FINC SAN JUAN, Cacahual, Guainía, Colombia",76.8524386365928,compare,3.725,-67.53444,Guainía,Inírida,MATCH,MISMATCH,Guainía,Cacahual,MATCH,MATCH,FLAG
COL,294001001284,CENTRO EDUCATIVO CEJALITO,3.48417,-69.81083,arcgis,uncertain,83.32,"VDA INSPECCION LA UNION, Barrancominas, Guainía, Colombia",49.836626288105236,compare,3.31111,-69.39667,Guainía,Barrancominas,MATCH,MATCH,Guainía,Barrancominas,MATCH,MATCH,FLAG
COL,294001001331,CENTRO EDUCATIVO CERRO CASABE,2.510499358174,-68.210079528678,arcgis,centroid,91.35,"VDA DANTO, Puerto Colombia, Guainía, Colombia",62.55474934103044,compare,2.41833,-68.76556,Guainía,Puerto Colombia,MATCH,MATCH,Guainía,Puerto Colombia,MATCH,MATCH,KEEP_ORIGINAL
COL,294001001349,CENTRO EDUCATIVO GABRIELA MISTRAL,2.510499358174,-68.210079528678,arcgis,uncertain,83.2,"VDA COMUNIDAD GUARINUMA, Puerto Colombia, Guainía, Colombia",62.55474934103044,compare,2.41833,-68.76556,Guainía,Puerto Colombia,MATCH,MATCH,Guainía,Puerto Colombia,MATCH,MATCH,FLAG
COL,294001001403,ESCUELA LAGUNA CUMARAL,3.64583,-68.85029,arcgis,uncertain,89.2,"VDA CUMARAL GUAMUCO, Barrancominas, Guainía, Colombia",71.15334994567307,compare,3.31111,-69.39667,Guainía,Barrancominas,MATCH,MATCH,Guainía,Barrancominas,MATCH,MATCH,FLAG
COL,294001001411,CENTRO EDUCATIVO CHATARE,3.48417,-69.81083,arcgis,uncertain,82.84,"VDA MURCIELAGO ALTAMIRA, Barrancominas, Guainía, Colombia",49.836626288105236,compare,3.31111,-69.39667,Guainía,Barrancominas,MATCH,MATCH,Guainía,Barrancominas,MATCH,MATCH,FLAG
COL,294001001420,CENTRO EDUCATIVO CUMARALITO,3.48417,-69.81083,arcgis,uncertain,87.38,"C BARRANCOMINAS LAGUNA COLORADA, Barrancominas, Guainía, Colombia",49.836626288105236,compare,3.31111,-69.39667,Guainía,Barrancominas,MATCH,MATCH,Guainía,Barrancominas,MATCH,MATCH,FLAG
COL,294001001438,CENTRO EDUCATIVO RAMON CARDOZO,3.8651683,-67.9266056,arcgis,uncertain,80.0,"COM SEJALITO FINC SEJALITO, Inírida, Guainía, Colombia",38.41930306597111,compare,3.894444,-68.271667,Guainía,Inírida,MATCH,MATCH,Guainía,Inírida,MATCH,MATCH,FLAG
