iso,id_centro,gps_lat,gps_lon,geocoded_lat,geocoded_lon,distance_km,arcgis_score,query_precision,query,address_returned
MEX,29DPR0083A,19.12063,-98.16371,19.119003000259,-98.161547090002,0.29,97.2,street,"CALLE ASCENCION TEPAL ORIENTE 0, LA SANTISIMA, 90950, SAN PABLO DEL MONTE, TLAXCALA, Mexico","Privada Ascención Tepal, La Santísima, Villa Vicente Guerrero, San Pablo del Monte, Tlaxcala, 90950"
MEX,21ETV0349X,18.999306,-97.928566,18.983151957189,-97.904715415192,3.08,87.15,street,"CALLE KILOMETRO 30 CARRETERA PUEBLA-TEPEACA  0, NINGUNO, 75205, TEPEACA, PUEBLA, Mexico","Carretera a Puebla, Jamaica, Tepeaca, Puebla, 75200"
MEX,20DTV0934R,16.3267,-96.4484,16.342970501326,-96.604334403111,16.74,83.08,street,"NINGUNO NINGUNO 0, NINGUNO, 70839, MIAHUATLÁN DE PORFIRIO DÍAZ, OAXACA, Mexico","Calle ninguno, 3 de Octubre, Miahuatlán de Porfirio Díaz, Oaxaca, 70805"
MEX,09PPR1145V,19.361351,-99.092774,19.365586795611,-99.091991597402,0.48,99.0,street,"CALLE AZTECAS 1, LA ASUNCIÓN, 09000, IZTAPALAPA, CIUDAD DE MÉXICO, Mexico","Cerrada Aztecas 1, La Asunción, Iztapalapa, Ciudad de México, 09000"
MEX,04DPR0608F,18.359364,-89.44166,18.36,-89.441,0.1,91.19,street,"CALLE NINGUNO 0, MANUEL CASTILLA BRITO, 24645, CALAKMUL, CAMPECHE, Mexico","24645, Manuel Castilla Brito, Calakmul, Campeche"
MEX,12DPR2329R,17.8501,-100.058,17.733801191,-100.026935508,13.34,83.38,street,"NINGUNO NINGUNO 0, NINGUNO, 00000, GENERAL HELIODORO CASTILLO, GUERRERO, Mexico","General Heliodoro Castillo, Guerrero"
MEX,31ECB0024U,20.996197,-89.230425,20.9834827,-89.2290275,1.42,82.0,street,"CARRETERA CACALCHEN-MOTUL KILOMETRO 2 0, NINGUNO, 97460, CACALCHÉN, YUCATÁN, Mexico","97460, Cacalchén, Yucatán"
MEX,21DPR1895M,18.125556,-98.084167,18.116005439365,-98.087610322092,1.12,99.0,street,"CALLE CENTRAL GUERRERO  36, SAN FRANCISCO, 74860, SAN PABLO ANICANO, PUEBLA, Mexico","Avenida Central Guerrero 36, San Francisco, San Pablo Anicano, Puebla, 74860"
MEX,07ETH0021H,17.409363,-91.66122,17.3148077,-91.3865073,30.99,82.0,street,"NINGUNO CARRETERA MUNICIPAL PALENQUE - GREGORIO MENDEZ MAGAÑA 51 KILOMETROS MAS 500 METROS MARGEN IZQUIERDO 0, REFORMA AGRARIA ( CHINIQUIJA), 29966, PALENQUE, CHIAPAS, Mexico","29966, Palenque, Chiapas"
MEX,21DPB0012N,18.705,-97.531667,18.599846,-97.6573882,17.67,86.03,street,"NINGUNO NINGUNO 0, NINGUNO, 75689, TLACOTEPEC DE BENITO JUÁREZ, PUEBLA, Mexico","75689, San Francisco, Puebla"
