iso,n,score_median,dist_median,dist_mean,dist_p90,dist_max,pct_lt1km,pct_lt5km,pct_lt15km,pct_gt30km
MEX,50,91.5,1.5,13.9,34.3,235.9,44,62,78,14
BRA,50,95.5,1.3,76.5,74.5,2545.1,46,62,72,20
COL,50,90.7,4.3,16.6,64.3,136.8,28,58,76,16
ARG,50,92.1,2.1,22.8,47.4,325.0,48,54,68,18
HND,50,80.0,8.6,12.2,24.7,50.5,6,24,70,6
PRY,50,83.2,5.8,17.2,35.3,192.3,20,46,70,12
GTM,50,87.7,1.6,7.9,17.4,123.1,40,72,86,6
CRI,50,86.0,4.0,8.2,21.4,51.2,30,52,82,6
PER,50,94.1,5.3,22.4,54.2,208.1,40,50,60,24
BOL,50,80.6,6.8,17.8,39.9,154.3,30,44,70,22
SUR,50,97.9,0.2,7.6,19.7,88.5,56,80,84,8
