iso,id_centro,gps_lat,gps_lon,geocoded_lat,geocoded_lon,distance_km,arcgis_score,extent_area,precision,query,address_returned
COL,176895000478,4.40044862,-76.0684993,4.401470506939,-76.068156458517,0.12,95.63,4e-06,street,"CL 17 17 01 BR LAS MERCEDES, Zarzal, Valle del Cauca, Colombia","Calle 17, Las Mercedes, Zarzal, Valle del Cauca"
COL,227006000007,8.378564993,-77.23404535,8.34688,-77.14911,9.99,88.29,0.000196,street,"CAS AGUAS BLANCA, Acandí, Chocó, Colombia","Vda. Aguas Blancas, Acandí, Chocó"
COL,205895001733,7.542778,-74.811111,7.55008,-74.80005,1.46,90.31,0.000196,street,"VDA CORDERO ICACAL, Zaragoza, Antioquia, Colombia","Cordero, Zaragoza, Antioquia"
COL,115542000025,5.564911505,-73.04697143,5.498757406581,-73.078419928114,8.14,80.0,0.049284,street,"AK CARRERA 5A 5A BR LA PIRAMIDE, Pesca, Boyacá, Colombia","Pesca, Boyacá"
COL,223855000872,8.281166361,-76.17644787,8.220264485231,-76.220236941021,8.31,85.56,0.155236,street,"VDA INCORA FARO, Valencia, Córdoba, Colombia","Valencia, Córdoba"
COL,268160000123,6.692480482,-72.93609116,6.69264,-72.93568,0.05,98.79,0.0004,street,"C SAN MIGUEL, Cepitá, Santander, Colombia","San Miguel, Cepitá, Santander"
COL,254250800055,8.574486178,-73.09341431,8.57562,-73.09489,0.21,91.13,0.000196,street,"VDA BRISAS DEL TARRA, El Tarra, Norte de Santander, Colombia","El Tarra, Norte de Santander"
COL,208421000069,10.61439823,-75.19918074,10.61666,-75.21663,1.92,81.4,0.000196,street,"C LOS PENDALES VÍA LA CORDIALIDAD CALLE 2 N 4 243, Luruaco, Atlántico, Colombia","Los Pendales, Luruaco, Atlantico"
COL,205837002479,8.16,-76.676111,8.16301,-76.6712,0.64,97.21,0.000196,street,"VDA VEREDA MANUEL CUELLO, Turbo, Antioquia, Colombia","Vda Manuel Cuello, Turbo, Antioquia"
COL,283592000964,1.873365435,-75.2490395,1.8761,-75.24773,0.34,90.13,0.0001,street,"VDA PEDREGALES, Puerto Rico, Caquetá, Colombia",El Pedregal
COL,223068000091,8.245327679,-75.22830228,8.24086,-75.23386,0.79,98.62,0.000196,street,"C PALOTAL, Ayapel, Córdoba, Colombia","Palotal, Ayapel, Córdoba"
